date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2022-01-01,13.3,11,15.6,0,,295,5.9,,1020.8,
2022-01-02,13.5,9,17.8,0,,305,4.8,,1019.4,
2022-01-03,13,11,18.6,0,,306,5.3,,1017.7,
2022-01-04,11.4,9,16.2,0,,350,0.8,,1017.8,
2022-01-05,12,8,15.2,0,,344,2.5,,1017.3,
2022-01-06,14.5,11,19.8,0.8,,345,2.6,,1016.3,
2022-01-07,16.7,12,23.6,0,,342,3.5,,1017.3,
2022-01-08,17,11,24.6,0,,348,2.8,,1016.5,
2022-01-09,17.6,13,23.4,0.8,,337,3,,1014.4,
2022-01-10,17.1,14,24.6,0,,357,2.5,,1014.8,
2022-01-11,17.5,14,22.2,1.3,,285,4,,1015.2,
2022-01-12,15.2,12,21.6,0,,21,4.1,,1014.7,
2022-01-13,14.1,11,22.4,14,,329,3.6,,1015.8,
2022-01-14,14.6,10,20.6,0,,10,3.8,,1016.6,
2022-01-15,15.2,10,20.6,0,,328,7.6,,1017.1,
2022-01-16,13.7,9,19.2,0,,298,8,,1018.9,
2022-01-17,11.2,7,16.6,0,,299,7.1,,1020,
2022-01-18,10.4,7,14.6,0,,310,5.7,,1017.5,
2022-01-19,10.3,7,14.4,0,,290,7.5,,1015.4,
2022-01-20,10.2,6,16.4,0.4,,305,3.1,,1011.9,
2022-01-21,12.4,8,20.8,0,,17,2.3,,1011.3,
2022-01-22,14.3,7,21.8,0,,36,4,,1010.1,
2022-01-23,15.5,13,20,1,,108,8.7,,1010.2,
2022-01-24,16.6,14,22,0,,93,7.3,,1010.9,
2022-01-25,14.6,13,19.4,0,,297,5.7,,1012.4,
2022-01-26,14.5,10,19.6,0,,300,6.2,,1014.1,
2022-01-27,12.4,8,17.2,0,,278,8.1,,1014.8,
2022-01-28,12.7,9,18.4,0,,309,7.2,,1015.9,
2022-01-29,12.3,7,20.6,0,,330,2.8,,1015.7,
2022-01-30,13.4,7,21.4,0,,317,5.7,,1011.8,
2022-01-31,14.5,8,23.2,0,,342,2.4,,1011.2,
2022-02-01,12.5,9,18.2,0,,315,4.7,,1010.1,
2022-02-02,14.7,9,22.6,0.1,,61,4.4,,1012,
2022-02-03,16.2,11,23.8,18.5,,99,12.7,,1011.2,
2022-02-04,13.4,12,18,36.1,,100,15.6,,1008.8,
2022-02-05,12.2,10,18.2,0.5,,295,7.5,,1012.1,
2022-02-06,12.2,8,20.4,0,,301,6.2,,1015.9,
2022-02-07,13.3,7,21,0,,358,3.6,,1015.3,
2022-02-08,14.4,8,22.6,0,,39,3.1,,1014,
2022-02-09,16.2,11,22.2,0.7,,93,9,,1013.8,
2022-02-10,16.6,13,23.8,0.5,,325,6.2,,1013.6,
2022-02-11,15.3,11,22.8,0,,278,9.2,,1014,
2022-02-12,15.3,10.2,23.4,0,,285,6.7,,1013.8,
2022-02-13,14.9,8,23.8,0,,328,2.6,,1013.4,
2022-02-14,15.6,8,24,0,,319,3.3,,1012.9,
2022-02-15,16.4,10,24.6,0,,344,2.5,,1012,
2022-02-16,17.1,11,25,0,,296,4.6,,1009.8,
2022-02-17,18.1,12,25.6,0,,291,5.7,,1009.9,
2022-02-18,17.7,11,26.4,0,,295,5.6,,1011.4,
2022-02-19,18.9,12,27.6,0,,271,6.9,,1011,
2022-02-20,19.3,15,26.4,0,,265,8.9,,1007.1,
2022-02-21,18.5,12,26.4,0,,315,5.5,,1008.1,
2022-02-22,18,11,26,0,,62,5.2,,1013.6,
2022-02-23,19.7,14,26.6,0,,100,9.2,,1015.5,
2022-02-24,20.8,17,26,1.4,,98,10.6,,1014.1,
2022-02-25,20.3,16,27.6,0,,71,6,,1014.8,
2022-02-26,20.6,16,27.6,0,,81,6,,1016.2,
2022-02-27,21.2,15.5,29,0,,22,4.3,,1014.2,
2022-02-28,21.5,16,29.2,0,,302,6.3,,1013.8,
2022-03-01,20.2,14,27.6,0,,345,3,,1015.2,
2022-03-02,19.9,13,28.2,0,,300,5.6,,1015,
2022-03-03,20.7,14,29.2,0,,291,4.2,,1014.3,
2022-03-04,21.7,14,30.6,0,,265,6.6,,1012.5,
2022-03-05,22.2,17,29.6,0,,277,6.2,,1011.4,
2022-03-06,21.8,15,29.6,0,,283,4.1,,1012.9,
2022-03-07,22.3,15,31,0,,311,3.8,,1013,
2022-03-08,22.5,16,30.6,0,,282,5.6,,1011.3,
2022-03-09,22.5,16,30.6,0,,294,3.9,,1010.6,
2022-03-10,23.3,16,32,0,,287,5,,1010.5,
2022-03-11,24,18,31.4,0,,287,6.8,,1010,
2022-03-12,24.8,18.8,31.2,0,,267,7.1,,1009.3,
2022-03-13,25,18.6,32,0,,292,5.2,,1009.9,
2022-03-14,25.6,18.2,33,0,,282,4.2,,1009.3,
2022-03-15,26.5,19.2,34.2,0,,314,3.6,,1006.1,
2022-03-16,27.7,20.2,34.2,0,,307,4.4,,1004.5,
2022-03-17,28.4,21.6,35.2,0,,80,7.7,,1005.5,
2022-03-18,29.9,24,36.4,0,,76,6.1,,1005.6,
2022-03-19,29.8,23.8,37,0,,345,4.1,,1003.7,
2022-03-20,30.6,25,37.2,0,,324,5.1,,1002.7,
2022-03-21,30.6,24,37.4,0,,270,3.9,,1003.9,
2022-03-22,29.9,23.2,38.4,0,,302,4.9,,1004.8,
2022-03-23,28.8,21.6,37.2,0,,313,4.3,,1005.3,
2022-03-24,28.5,21,36.2,0,,276,5.9,,1003.6,
2022-03-25,30.6,23.2,38.2,0,,264,6.1,,1003.6,
2022-03-26,29.6,23,37.4,0,,260,10,,1005.6,
2022-03-27,28.5,20.2,36.4,0,,274,5,,1007.2,
2022-03-28,28,20.8,36,0,,338,4.1,,1005.8,
2022-03-29,28.4,24,35.2,0,,93,9.8,,1004.9,
2022-03-30,28.1,24,34,0,,94,10.7,,1005.4,
2022-03-31,27.8,23,35,0,,75,7.2,,1005.6,
2022-04-01,29.7,25,36.8,0,,93,8.8,,1004.6,
2022-04-02,27.8,24,34.8,0.1,,90,10.3,,1007.2,
2022-04-03,28,24,34,0,,64,6.5,,1006.5,
2022-04-04,30.7,23.6,40.6,0,,283,7.4,,1005.2,
2022-04-05,29.9,21,40,0,,7,3.6,,1007.9,
2022-04-06,30.8,23.4,40,0,,345,6,,1008.4,
2022-04-07,31.1,23.6,39,0,,92,8.5,,1008.1,
2022-04-08,29.8,25,37,0,,70,7.5,,1006.2,
2022-04-09,30,25.5,36.7,0,,87,11.7,,1004.7,
2022-04-10,28.7,24.7,35.4,0,,88,12.8,,1003.7,
2022-04-11,28.5,24,33.6,0,,93,10.9,,1003.6,
2022-04-12,29.6,24,35.6,0,,84,11.4,,1003.7,
2022-04-13,31.1,25.4,37.8,0,,77,7.8,,1001.8,
2022-04-14,33.2,27,41,0,,326,6.3,,1000,
2022-04-15,33.8,24.5,41.6,0,,294,7.5,,1000,
2022-04-16,32.6,22.8,41.6,0,,314,5.4,,1000.4,
2022-04-17,33.1,25.2,42.4,0,,321,5.7,,1001.1,
2022-04-18,32.6,20.4,42.2,0,,19,7.4,,1003.5,
2022-04-19,30.3,26,37.2,0,,86,13.8,,1005.1,
2022-04-20,28.7,25.2,35.7,0,,93,16.5,,1004.6,
2022-04-21,29.2,23.2,35.4,0,,85,13.8,,1004.9,
2022-04-22,30.9,25.4,38.2,0,,25,7.8,,1005.3,
2022-04-23,32.8,23.8,41.4,0,,292,7.4,,1004.1,
2022-04-24,33.7,23,42,0,,256,10.2,,1002.2,
2022-04-25,33.4,25.6,42.4,0,,252,8.6,,1001.9,
2022-04-26,33.2,21.8,43,0,,325,4.6,,1002.6,
2022-04-27,33.9,26,43,0,,20,7.3,,1002.3,
2022-04-28,31.4,25.9,39,0,,83,11.6,,1004.1,
2022-04-29,31.4,27,38.2,5.7,,76,12.1,,1002.7,
2022-04-30,28.9,26,35.2,0,,89,15.7,,1002,
2022-05-01,29.3,24,35.6,2.3,,80,16.8,,1002,
2022-05-02,29.6,26,36.5,0.5,,85,16.7,,1002.2,
2022-05-03,28.1,23,34,0,,77,16.9,,1003.5,
2022-05-04,28.8,24.1,34.2,0,,88,17.2,,1005.8,
2022-05-05,27.2,25,32.2,0,,66,12.3,,1005.6,
2022-05-06,29.8,22.4,36.8,2,,64,9.4,,1004.7,
2022-05-07,30.4,24.6,37.8,0,,69,9.1,,1004.5,
2022-05-08,31.3,25.8,37.4,0,,82,11.4,,1003.2,
2022-05-09,29.2,24.8,35.3,0,,79,12.6,,1002.9,
2022-05-10,31.1,25.2,37.3,0,,87,13.2,,1003.2,
2022-05-11,31.9,28,37.6,11.6,,82,9.6,,1001.2,
2022-05-12,30.2,24.2,35.6,16,,88,8.6,,1000.1,
2022-05-13,32.3,28,39.5,0,,51,8.5,,996.9,
2022-05-14,30.3,25,37.6,0,,75,13.8,,997.7,
2022-05-15,31.5,25.4,38.6,0,,81,12.1,,999.2,
2022-05-16,32.2,26.9,39.4,0,,78,11.5,,998.8,
2022-05-17,31.8,28,39.4,0,,77,11.2,,998.9,
2022-05-18,33.1,26.1,40.6,0,,78,10.6,,1000.2,
2022-05-19,32.5,29,39.4,0.1,,79,8.5,,999.9,
2022-05-20,29.6,25.2,39.4,0,,76,16.1,,999.1,
2022-05-21,29.3,26,36,0,,80,14.4,,996.6,
2022-05-22,28.4,24.1,34.8,1,,85,14.1,,996.8,
2022-05-23,29.7,24,36.4,3.5,,54,11.4,,998.8,
2022-05-24,29.2,24.6,35.4,6.5,,52,5.7,,1002.5,
2022-05-25,28.7,20.6,35,11.9,,344,7.4,,1003.6,
2022-05-26,29.9,25,37.6,0,,87,7.9,,1001.6,
2022-05-27,32.6,23.4,39.2,,,55,5.5,,998.9,
2022-05-28,32.1,26.4,37.7,2,,96,7.4,,998.2,
2022-05-29,27.9,22.6,32,7.1,,64,9.4,,999.3,
2022-05-30,31.1,25.6,36.7,1,,55,9.4,,999.3,
2022-05-31,33.1,27.2,38,0,,79,8.6,,998.6,
2022-06-01,32.3,29,38.6,0.1,,72,7.4,,998.8,
2022-06-02,34,27,39.4,0,,80,7.9,,998.4,
2022-06-03,34.9,29.4,41.7,0,,83,8.4,,997.6,
2022-06-04,31.8,27,38,0,,79,11,,998.3,
2022-06-05,31.7,26,38.8,0,,76,11.9,,998.9,
2022-06-06,31.8,27,38.1,0,,78,13.7,,998.5,
2022-06-07,31.9,26.8,38.6,0,,85,14,,998,
2022-06-08,32.6,27.4,39,0,,80,10.8,,996.9,
2022-06-09,31.3,29,38.2,0,,80,12.7,,996.8,
2022-06-10,31.8,26.4,39,0,,81,12.3,,997.1,
2022-06-11,32.5,26.6,38.7,0,,79,11.4,,997.4,
2022-06-12,32.8,29,38.8,0,,63,11.3,,998.8,
2022-06-13,33.2,25.6,41.5,0,,74,8.8,,999.4,
2022-06-14,33.4,27.8,41.9,0,,82,8.8,,998.2,
2022-06-15,33.7,27.6,41.8,0.2,,131,8.9,,997.8,
2022-06-16,33.2,29,38.5,0.1,,237,7.3,,999.7,
2022-06-17,32.7,30,38.6,15.5,,239,9.9,,999.8,
2022-06-18,29.8,25,38.2,19.3,,183,9.8,,1000.3,
2022-06-19,29,23.1,36.1,0.3,,232,7.6,,999.8,
2022-06-20,30,26.2,35,3.6,,222,6.5,,998.3,
2022-06-21,30.1,26.2,35,0.9,,103,7.4,,998.7,
2022-06-22,31.2,25.6,36.2,0.3,,72,6.3,,1001.4,
2022-06-23,32.4,27.6,37,0.5,,114,7.8,,1001.6,
2022-06-24,31.2,27.3,36.6,7.7,,103,5,,1000,
2022-06-25,31.6,27,36.6,1.5,,106,10.9,,999,
2022-06-26,31.6,27.6,36.6,0,,93,12,,1001,
2022-06-27,32.3,27.4,37.9,3,,96,8.3,,1001.5,
2022-06-28,29.9,27.4,33.4,7.1,,98,8.4,,999.5,
2022-06-29,26.1,25,28.2,36.6,,114,9.3,,999.4,
2022-06-30,27.5,24.6,30,112,,60,4.4,,999.6,
2022-07-01,29.1,24.3,34,23.9,,53,6,,998.6,
2022-07-02,30.1,25.4,34.6,1,,116,7,,997.9,
2022-07-03,30.7,26.5,35.6,0,,97,9.1,,998,
2022-07-04,31.9,26.6,35.7,1,,105,9.2,,997.5,
2022-07-05,33.3,28.1,37.3,0,,100,9.8,,997.8,
2022-07-06,31.6,28.4,36,1.8,,106,12.2,,1000.9,
2022-07-07,32.1,26.5,36,0.7,,101,10.1,,1002.1,
2022-07-08,33.3,28.4,36.8,0.4,,113,8.5,,999.9,
2022-07-09,32.9,28.2,37,0.3,,105,11.4,,998.4,
2022-07-10,33.1,28.3,37.8,0,,105,11.6,,998.1,
2022-07-11,32.3,27,37,0.8,,107,12.6,,998.8,
2022-07-12,32.3,28,36.1,9.9,,98,12.5,,998.2,
2022-07-13,33.1,27.1,37.9,0,,100,13.5,,996.3,
2022-07-14,31.6,27,38,0,,97,13.4,,996.5,
2022-07-15,31.8,26.2,36.8,0.4,,109,9.9,,998.7,
2022-07-16,32.2,27.2,36,0,,112,10.5,,999.7,
2022-07-17,32.9,27.5,36,0,,107,13.4,,1001,
2022-07-18,32.4,27.5,36.8,0.6,,114,11.2,,1000.2,
2022-07-19,32.4,29,36,11.7,,95,7.8,,998.6,
2022-07-20,28.8,26,35,8.9,,69,6.2,,999.5,
2022-07-21,28.3,25.4,31.5,6.1,,84,5.6,,1000.9,
2022-07-22,29.2,27,34,3,,97,9.2,,1002,
2022-07-23,30.5,27,35.4,20.1,,102,10.1,,1001.3,
2022-07-24,29.4,26.4,32.8,0,,102,12.6,,1002.3,
2022-07-25,29.1,27,34.6,3.1,,99,11.8,,1004.6,
2022-07-26,29.4,24.6,35.6,0,,105,8.4,,1005.6,
2022-07-27,28.2,24.8,32.2,5.1,,92,5,,1005.4,
2022-07-28,29.7,25,35.1,2,,319,3.6,,1005.6,
2022-07-29,28.9,25,33.1,13,,272,5.2,,1004.6,
2022-07-30,29.7,24.9,34,56.9,,322,3.6,,1002.2,
2022-07-31,27.9,26,32,4.1,,282,7,,999.8,
2022-08-01,29.1,25.8,33.6,0.5,,260,6.1,,1000.5,
2022-08-02,27.9,26,33,7.1,,109,5.8,,1001,
2022-08-03,29.4,26,33.2,37.1,,62,4.8,,1001.8,
2022-08-04,30.2,26.5,33,0.5,,95,7.3,,1002.1,
2022-08-05,32.3,27.7,35.5,0,,108,7.1,,999.8,
2022-08-06,30.9,28,35,5.9,,84,5.8,,998.3,
2022-08-07,31.1,28,34,17.2,,90,8.4,,997.7,
2022-08-08,31.5,28.2,35.2,0.7,,99,11,,996.7,
2022-08-09,30.7,28,33.4,0,,96,16.4,,996.1,
2022-08-10,29.5,28,31.6,1.2,,97,18.8,,995.7,
2022-08-11,29.3,27.8,33,1.3,,105,17.8,,997.8,
2022-08-12,30.4,26.4,34,1.1,,106,11.8,,998.7,
2022-08-13,32.1,27.1,35.5,11.5,,68,5.7,,997.9,
2022-08-14,30.1,28,33.5,8.6,,93,20.5,,999.1,
2022-08-15,29.2,26,33,3,,105,21.6,,1001.5,
2022-08-16,31.3,26.8,35,0.5,,182,6.3,,1003.4,
2022-08-17,31.4,27.2,35,0,,298,5.7,,1002.1,
2022-08-18,32.4,27.6,36,2,,303,5.9,,999.4,
2022-08-19,28.7,25.4,34.4,0,,328,7.2,,999.8,
2022-08-20,28.9,25.1,31.1,24.9,,84,16.6,,998.7,
2022-08-21,29.2,26.8,33,0,,107,16.4,,998.6,
2022-08-22,31.3,27,35,1,,109,10,,998.9,
2022-08-23,29.2,26,34.2,0,,235,8.9,,1001.7,
2022-08-24,29.9,25.6,34.4,46,,78,4.3,,1003.9,
2022-08-25,30.8,26.1,33.2,4.1,,98,8.2,,1002.1,
2022-08-26,31,27.7,34,0,,250,4.4,,1001.2,
2022-08-27,31.3,29,35,1,,270,5.8,,1000.4,
2022-08-28,28.2,26.5,30.3,0.3,,67,6.3,,1003,
2022-08-29,30.4,26.2,34.2,1,,57,4.7,,1005.9,
2022-08-30,30.8,27.8,35,0,,8,2.5,,1006.1,
2022-08-31,29.2,26.6,34.4,5.9,,356,4.7,,1004.4,
2022-09-01,29.6,26.8,34,13.7,,18,3.2,,1005,
2022-09-02,29.8,26.7,34,4.5,,263,6.1,,1005.3,
2022-09-03,28.6,25,32.2,9.1,,257,7,,1002.7,
2022-09-04,30.6,26,35,12.8,,257,5.3,,1002.3,
2022-09-05,30.2,27.6,34,5.4,,322,3.4,,1003.4,
2022-09-06,28.6,26,33,9.1,,11,1.5,,1004.7,
2022-09-07,29.5,27,33,10,,55,5.2,,1006.1,
2022-09-08,29,27.4,33,13,,90,6.4,,1006.9,
2022-09-09,30.8,26.7,34.3,9.8,,75,5.9,,1006.3,
2022-09-10,29.7,26.2,35,6.9,,84,8.3,,1004.9,
