date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2022-01-01,21.2,17,27.9,,,107,3.5,,1019.4,
2022-01-02,21.3,16,27.2,,,95,2.9,,1018.1,
2022-01-03,21.4,14,28,,,78,3,,1017.1,
2022-01-04,21.7,14,28.5,,,72,3.3,,1016.6,
2022-01-05,22.4,16,28.7,,,146,4.3,,1016.8,
2022-01-06,22.1,16,28.6,,,132,4.9,,1015.6,
2022-01-07,21.8,17,28,,,133,4.3,,1015.9,
2022-01-08,22.4,18,28,,,145,5,,1016,
2022-01-09,23,18,28.8,,,150,5.4,,1014.2,
2022-01-10,23.9,19,28.6,,,157,5.3,,1013.8,
2022-01-11,24,19,29.6,,,153,5.4,,1013.6,
2022-01-12,22.9,19,30,,,117,4.7,,1013.4,
2022-01-13,21.4,19,30.6,,,110,6.1,,1013.4,
2022-01-14,23.4,19,29.2,,,139,5.4,,1013,
2022-01-15,23.2,19,30.2,,,98,4.3,,1014.6,
2022-01-16,19.4,17,29.9,2,,83,3.4,,1017.1,
2022-01-17,22.2,18.3,26.4,0,,117,4.4,,1018,
2022-01-18,22,18,28.6,,,37,1.9,,1016.9,
2022-01-19,21.5,14,30,,,1,1.7,,1014.9,
2022-01-20,22.2,14,31.8,,,3,2,,1012.4,
2022-01-21,23.7,16.3,32.2,,,325,3,,1011.7,
2022-01-22,23.7,15,33,,,287,3.7,,1010.3,
2022-01-23,23.2,18,33.5,,,308,4.3,,1010.3,
2022-01-24,21.4,16,30.8,,,337,3.1,,1011.5,
2022-01-25,21.1,15,28.7,,,30,2.4,,1012.4,
2022-01-26,21.6,15,28.8,,,64,2.9,,1013.3,
2022-01-27,21.4,16,29.7,,,66,4.6,,1014.7,
2022-01-28,20.9,13,28,,,55,2.9,,1016.1,
2022-01-29,20.6,11,28.9,,,29,2,,1017,
2022-01-30,21,11,31.2,,,349,2.4,,1015.2,
2022-01-31,22.1,14.6,32,,,345,1.8,,1013.2,
2022-02-01,24.4,13,33,,,356,2.3,,1012.6,
2022-02-02,25.3,14,33.4,,,103,3.3,,1012.8,
2022-02-03,25.3,17,33.4,,,177,3.7,,1011.1,
2022-02-04,21.9,18,32.8,,,318,3.9,,1011.2,
2022-02-05,21.7,11,29.8,,,21,1.8,,1013.1,
2022-02-06,22.9,13,30.4,,,94,3,,1015.5,
2022-02-07,23.8,16,31.2,,,121,3.3,,1015.1,
2022-02-08,24.9,18,31.7,,,144,3.3,,1013.9,
2022-02-09,23.3,18,32.2,,,133,5.4,,1014,
2022-02-10,23.9,19,30,,,128,4.1,,1014.1,
2022-02-11,23.1,18,30.8,,,78,4.2,,1014.6,
2022-02-12,22.8,15,29.8,,,86,3.3,,1014.4,
2022-02-13,23.2,13,30.6,,,92,2.7,,1013.1,
2022-02-14,23.7,15,30.5,,,133,3,,1012.6,
2022-02-15,23.9,18,31.2,,,128,4,,1012.2,
2022-02-16,24.2,18,31.6,,,142,4.9,,1010.2,
2022-02-17,24.5,17,31.8,,,123,5.4,,1009.5,
2022-02-18,24.1,19,32.4,,,115,5.2,,1011.6,
2022-02-19,25.3,18,31.8,,,140,5,,1013.2,
2022-02-20,25.6,17,34,,,302,3.9,,1011.4,
2022-02-21,25.8,17,34.4,,,355,3.5,,1010.6,
2022-02-22,25.3,15,34.2,,,103,2.8,,1012.6,
2022-02-23,25.2,16,35,,,117,5,,1015.3,
2022-02-24,26.1,16,33,,,144,6,,1014.9,
2022-02-25,26.6,18.6,33.5,,,130,4.4,,1014.6,
2022-02-26,25.1,19,33.8,,,133,7,,1015.7,
2022-02-27,25.4,19,32.4,,,136,5.8,,1015.7,
2022-02-28,26,18,34,,,121,4.3,,1015.1,
2022-03-01,27.4,17,34,,,116,3.6,,1014.9,
2022-03-02,26.3,16,34.2,,,116,4.1,,1014.6,
2022-03-03,26.9,17,33.6,,,119,3.7,,1014.4,
2022-03-04,26.9,18,34,,,117,4.5,,1014.1,
2022-03-05,26.8,18,33.4,,,103,3.5,,1013.3,
2022-03-06,26.6,20,33.8,,,108,4.1,,1013.2,
2022-03-07,26.9,19,32.7,,,120,4.4,,1013.4,
2022-03-08,26.9,19,33.4,,,98,3.1,,1012.8,
2022-03-09,27.9,18,34.6,,,60,3.4,,1011.8,
2022-03-10,27.7,19,35.5,,,94,2.9,,1012.1,
2022-03-11,27.4,22,34.2,,,43,2.9,,1012,
2022-03-12,27.7,21,34.9,,,17,3.1,,1011.5,
2022-03-13,27.9,20,34.6,,,37,2.7,,1011.7,
2022-03-14,27.5,19,36.6,,,11,2.6,,1012,
2022-03-15,28.4,16,36.7,,,41,3.1,,1010.3,
2022-03-16,28.4,19,37.6,,,19,3,,1008.7,
2022-03-17,29,19,39,,,8,2.8,,1007.7,
2022-03-18,30.4,22,39.6,,,124,3.7,,1007.1,
2022-03-19,28.6,21,39.2,,,136,3.7,,1007,
2022-03-20,28.7,24,36.6,0,,222,3.7,,1006.7,
2022-03-21,30.7,23,37.4,0,,15,3,,1007.3,
2022-03-22,29.8,22,38.3,0,,77,3.3,,1008.3,
2022-03-23,29.9,23,37.4,,,104,4.6,,1008.2,
2022-03-24,29.4,24,37.8,,,128,4.5,,1008.2,
2022-03-25,29.6,23,37.6,,,132,4.2,,1009.2,
2022-03-26,30.5,22,37.8,,,142,4.6,,1010.9,
2022-03-27,30.9,24,38.8,,,129,3.2,,1011,
2022-03-28,30.8,23,38.2,0,,74,2.9,,1010.1,
2022-03-29,31.3,23,39,,,15,3,,1008.8,
2022-03-30,31.9,25,40,,,13,2.9,,1008.6,
2022-03-31,31.9,24,40.4,,,80,3.7,,1008.9,
2022-04-01,30.4,24,40.8,,,112,4,,1009.1,
2022-04-02,30.1,23,38.7,,,121,4.6,,1010.5,
2022-04-03,30.8,24,38.2,,,127,4.5,,1009.9,
2022-04-04,31.3,24,38.6,,,135,4.7,,1010.3,
2022-04-05,30.3,24,38.4,,,127,5.7,,1012.3,
2022-04-06,31.2,25,37.7,,,122,3.4,,1012.1,
2022-04-07,30.9,25,39,,,119,4,,1011.1,
2022-04-08,30.8,24,39,,,117,4.5,,1010.6,
2022-04-09,29.7,23,38.4,,,124,3.9,,1010.1,
2022-04-10,31.2,25,37.2,,,138,4.1,,1009.2,
2022-04-11,31.2,25,38.2,,,120,3.2,,1008.7,
2022-04-12,31.4,25,38.2,,,115,3.6,,1008,
2022-04-13,31.5,24,38.7,,,124,4.2,,1007.5,
2022-04-14,31.8,25,38.2,,,128,4.2,,1007.4,
2022-04-15,31.1,26,39.3,,,249,3.1,,1006.9,
2022-04-16,31.6,27,38.9,,,283,3.3,,1006.1,
2022-04-17,31.8,26,39.2,,,222,4.4,,1006.9,
2022-04-18,31.4,27,39.6,,,270,3.3,,1008.9,
2022-04-19,32.5,25.7,40.6,,,293,3.5,,1009.8,
2022-04-20,33.7,26,41.4,,,341,2.9,,1008.2,
2022-04-21,31.1,25,41.4,,,141,4.8,,1007.6,
2022-04-22,28.7,24,40.2,,,105,3.1,,1009.8,
2022-04-23,30.5,24,37.2,,,99,2.6,,1010,
2022-04-24,31.3,26,39.2,,,334,4.1,,1009,
2022-04-25,32.8,24,40,,,37,2.7,,1007.4,
2022-04-26,32.7,27,40,,,357,2.9,,1008.3,
2022-04-27,33.7,26,40.4,,,107,3.2,,1007.6,
2022-04-28,31.6,26,40.8,,,177,3.3,,1008.4,
2022-04-29,32,24,41.2,,,327,3.5,,1008.2,
2022-04-30,30.9,25,41.7,,,317,3.3,,1006,
2022-05-01,32.8,24,41.7,,,329,2.9,,1003.5,
2022-05-02,32.8,28,41.5,0,,5,5.6,,1004.9,
2022-05-03,32.5,27,40.9,,,127,3.8,,1005.6,
2022-05-04,25.6,18.9,39.4,63,,99,4.4,,1008.7,
2022-05-05,30.2,24,37.6,3,,26,2.8,,1008.1,
2022-05-06,32.3,26.1,40,0,,353,4.2,,1006.5,
2022-05-07,32.4,26,40,,,49,3.5,,1005.7,
2022-05-08,32.6,28,39.7,,,77,3.3,,1004.3,
2022-05-09,32.3,26.8,40,,,49,3.1,,1002.5,
2022-05-10,31.9,26,40,,,59,4.3,,1001.2,
2022-05-11,27.6,26,38.6,0,,31,3.5,,1002.3,
2022-05-12,27.8,25,33.4,0.3,,81,4.5,,1004,
2022-05-13,31.3,25,38,0,,26,3.5,,1003.9,
2022-05-14,32.1,25,40.2,,,315,4.8,,1004.1,
2022-05-15,32.7,26.6,40.2,,,196,3.3,,1004.6,
2022-05-16,30.3,22.4,39.8,7.1,,95,4.4,,1005.1,
2022-05-17,30.6,26,36.8,0,,99,2.9,,1004.3,
2022-05-18,30.1,27,36.8,,,114,4.7,,1005,
2022-05-19,28.8,25,35.8,,,126,5.8,,1005.2,
2022-05-20,27.3,24,36.2,,,203,6,,1005.6,
2022-05-21,27.6,24,36.2,0,,274,7.9,,1005,
2022-05-22,29.6,23,37.5,,,275,10.7,,1002.8,
2022-05-23,30.6,25,37.8,,,283,8.5,,1002.9,
2022-05-24,31.7,26,39.2,,,284,8.5,,1004.6,
2022-05-25,31.7,27,39.2,,,314,5.8,,1006.3,
2022-05-26,30.3,27,39.4,0,,285,7.4,,1006.7,
2022-05-27,31.1,25,39.4,1,,273,6.1,,1006.2,
2022-05-28,31.3,25.5,39.2,0,,280,9.6,,1005.8,
2022-05-29,32.5,26.2,39.8,0,,267,10,,1005.4,
2022-05-30,32.2,28,39.8,0,,277,9.5,,1004.8,
2022-05-31,29.7,24,39.7,3.1,,288,8.4,,1004.7,
2022-06-01,30.6,24.6,39,0.3,,287,8.5,,1004.8,
2022-06-02,31.8,25.6,40,0,,299,8.4,,1004.2,
2022-06-03,31.8,25.9,40,0,,288,11.1,,1004.4,
2022-06-04,32.1,24,40,2,,294,8.3,,1004.1,
2022-06-05,32.2,26.4,41.9,0,,292,6.2,,1003.8,
2022-06-06,30.5,24,41.9,0.3,,269,10.2,,1005.1,
2022-06-07,32.3,26,40.8,0,,286,9.9,,1004.5,
2022-06-08,30.4,26,40.8,0.3,,289,9.9,,1004.7,
2022-06-09,30.7,24,38.8,0.2,,288,8.9,,1004.7,
2022-06-10,30.8,26,38.8,0,,261,9.5,,1005.5,
2022-06-11,31.8,24.8,37.3,0.1,,263,12.9,,1005.8,
2022-06-12,29.3,24,37.3,0.6,,274,8.4,,1006.7,
2022-06-13,29.9,24.4,37.8,4.3,,279,8,,1007.7,
2022-06-14,27.8,23,37.8,7.9,,297,6,,1007.1,
2022-06-15,26.7,23,36.6,0,,261,6,,1006.4,
2022-06-16,27.1,24,35.3,0.5,,237,3.5,,1006.5,
2022-06-17,28.6,25,35.8,0,,272,3.6,,1005.9,
2022-06-18,29.8,25,36,0.3,,195,4.6,,1006.3,
2022-06-19,26.1,23,36,0.5,,287,4.1,,1006.7,
2022-06-20,27.9,24,34.7,4.1,,268,5.8,,1005.4,
2022-06-21,25.9,21.5,34.7,47,,279,5.7,,1004.2,
2022-06-22,26.7,23,33.2,0.3,,258,4.9,,1005.5,
2022-06-23,27.8,23.8,34.4,0,,237,4.5,,1006.1,
2022-06-24,26.3,23,34.4,0.3,,269,6.6,,1005.3,
2022-06-25,26.1,23,32.8,9.5,,279,7.8,,1003.6,
2022-06-26,25.6,22.8,32.8,1,,263,8.3,,1004,
2022-06-27,24.1,21.8,30.6,5.1,,262,7.6,,1006.3,
2022-06-28,24.1,22,30.8,2,,278,7.2,,1006.5,
2022-06-29,26.4,23,32.2,11.9,,278,5.2,,1004,
2022-06-30,26.6,23,32.6,0,,288,5.1,,1003.5,
2022-07-01,26.9,23,33.2,1.7,,289,7.8,,1003.9,
2022-07-02,25.1,20.5,33.2,20.1,,300,5.7,,1003.2,
2022-07-03,25.7,22.8,33,0.5,,284,5.8,,1003.2,
2022-07-04,24.3,22,33,9.9,,271,6,,1003.4,
2022-07-05,25.1,22,32.2,10.9,,279,7.5,,1002,
2022-07-06,24.3,21.6,32.2,11.9,,265,6.1,,1002.8,
2022-07-07,25.2,23,30.2,0.3,,273,8.8,,1004.9,
2022-07-08,22.1,21,30.2,0.5,,273,9,,1005.1,
2022-07-09,21.4,21,25.7,41.9,,279,10.7,,1002.7,
2022-07-10,21.5,20,24.4,39.1,,283,9.8,,1003.1,
2022-07-11,22.3,21,26.2,16,,279,9.9,,1004.4,
2022-07-12,21.1,20,26.2,13,,274,11.8,,1004.2,
2022-07-13,21.1,20,23.9,25.9,,269,15.1,,1001.8,
2022-07-14,22.5,20,26.6,4.1,,269,12.2,,1000.5,
2022-07-15,24.4,22,29.2,0.5,,266,10.4,,1002.3,
2022-07-16,25.7,22,30.6,0,,264,9.1,,1004.1,
2022-07-17,23.9,22,31.2,8.7,,295,6.9,,1004.7,
2022-07-18,24,22,29.5,15,,271,6.2,,1005.6,
2022-07-19,25.8,22,31.4,0,,265,5.8,,1006.5,
2022-07-20,26.8,22,32.7,0.3,,300,5.2,,1006.5,
2022-07-21,25.7,23,32.7,0,,293,5.2,,1006.7,
2022-07-22,22.3,21,31,1,,300,4.1,,1007,
2022-07-23,23.4,20.8,27.6,85.1,,292,6,,1005.9,
2022-07-24,23.7,21,28.2,0,,275,6.8,,1006.3,
2022-07-25,24.8,21,30.5,2,,289,5.2,,1007.8,
2022-07-26,22.3,21,30.5,10.9,,309,3.6,,1009.2,
2022-07-27,25.4,21.9,30.5,7.1,,9,2.5,,1009,
